model_type,feature_types,timestamp,accuracy,precision,recall,f1,inference_time,memory_usage,training_time,false_positive_rate,true_positive_rate,auc_score,confusion_matrix,feature_importance,model_params
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:04:42.079490,0.9870633893919794,0.9870736477842494,0.9870633893919794,0.9870467505335394,0.04467606544494629,831.38671875,54.84515166282654,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:04:48.274019,0.9954721862871928,0.995471739620299,0.9954721862871928,0.9954709576411501,0.037656545639038086,831.38671875,2.9039435386657715,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:04:53.587623,0.994340232858991,0.9943429829734612,0.994340232858991,0.994336888704167,0.016238927841186523,830.515625,2.065460205078125,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:05:10.260562,0.9859314359637775,0.9859338338243064,0.9859314359637775,0.9859153140308967,0.007512331008911133,831.07421875,13.462482452392578,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:06:38.376152,0.9807567917205692,0.9807455426456095,0.9807567917205692,0.9807489423932766,0.03912711143493652,832.06640625,43.22698760032654,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:06:44.657496,0.9953104786545925,0.9953102439847129,0.9953104786545925,0.9953089929852249,0.038025856018066406,831.71875,3.002251148223877,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:06:49.752840,0.9951487710219923,0.9951488300180108,0.9951487710219923,0.9951470133175097,0.013827800750732422,831.515625,1.8404107093811035,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:07:03.980335,0.9826972833117723,0.98268667082289,0.9826972833117723,0.9826886448639908,0.006775617599487305,833.25,10.974485874176025,,,,,,
cnn,"['tfidf', 'sql_semantic']",2025-02-04T23:09:58.626410,0.9945019404915912,0.9945039895572702,0.9945019404915912,0.9944989439014502,1.3665432929992676,1844.98828125,168.97039580345154,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:12:14.430569,0.9865782664941786,0.9865769435540828,0.9865782664941786,0.9865653831148876,0.04197072982788086,830.3046875,39.594083309173584,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:12:20.850296,0.9951487710219923,0.9951479112641863,0.9951487710219923,0.9951478946649529,0.056012630462646484,833.0859375,3.04333758354187,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:12:26.375829,0.9951487710219923,0.9951535513843512,0.9951487710219923,0.9951456819222761,0.013113260269165039,831.16796875,2.2003707885742188,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:12:41.880324,0.9847994825355757,0.9848261646749681,0.9847994825355757,0.984772762495039,0.005608797073364258,832.859375,12.229361295700073,,,,,,
cnn,"['tfidf', 'sql_semantic']",2025-02-04T23:15:37.037489,0.9925614489003881,0.9925648826738663,0.9925614489003881,0.9925560279509645,1.3018898963928223,1845.34765625,169.39510250091553,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:18:41.632408,0.9873868046571799,0.987411528842617,0.9873868046571799,0.9873670221777693,0.03820228576660156,831.75390625,40.63029623031616,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:20:32.163651,0.9894890038809832,0.9894963040300374,0.9894890038809832,0.9894779379848264,0.059877872467041016,832.3515625,37.67045974731445,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:20:38.575032,0.9959573091849935,0.9959600403725593,0.9959573091849935,0.9959552908560726,0.03995704650878906,830.83984375,3.010476589202881,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:20:44.342398,0.9945019404915912,0.9945039895572702,0.9945019404915912,0.9944989439014502,0.012123823165893555,831.0078125,2.401918411254883,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:21:00.578926,0.9894890038809832,0.9894996995050745,0.9894890038809832,0.9894769587587158,0.007755279541015625,832.234375,12.935393810272217,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:22:14.187562,0.9883570504527813,0.9883707024453607,0.9883570504527813,0.9883420754801855,0.05565357208251953,830.95703125,26.949941158294678,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:22:20.712139,0.9954721862871928,0.9954724809766645,0.9954721862871928,0.9954705457630091,0.04122591018676758,832.1640625,3.1252880096435547,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:22:25.913667,0.9951487710219923,0.9951589335517484,0.9951487710219923,0.9951447880646374,0.014006614685058594,832.5625,1.758716344833374,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:22:37.533664,0.9807567917205692,0.9808091497273197,0.9807567917205692,0.9807109787749193,0.007494688034057617,832.65625,8.270841836929321,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:25:14.381790,0.9828589909443726,0.9828489503293014,0.9828589909443726,0.9828512167204981,0.043003082275390625,832.4375,51.99559450149536,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:25:20.661567,0.9954721862871928,0.9954736682672956,0.9954721862871928,0.995470132718622,0.042708635330200195,831.453125,2.9856483936309814,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:25:26.387861,0.9945019404915912,0.9945039895572702,0.9945019404915912,0.9944989439014502,0.014000415802001953,830.80859375,2.3288376331329346,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:25:37.564100,0.9896507115135834,0.9896468753728368,0.9896507115135834,0.9896460176425649,0.008592844009399414,833.3046875,7.841429233551025,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:31:31.955810,0.9867399741267788,0.9867401239640001,0.9867399741267788,0.9867266304503309,0.04168272018432617,831.78125,45.27101492881775,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:31:38.358414,0.9954721862871928,0.9954724809766645,0.9954721862871928,0.9954705457630091,0.0434567928314209,831.87890625,2.962289333343506,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:31:43.458260,0.9951487710219923,0.9951499575509367,0.9951487710219923,0.9951465707699523,0.014276742935180664,834.01953125,1.7645890712738037,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:31:57.712150,0.9796248382923674,0.9796183538802175,0.9796248382923674,0.9796211575928025,0.010960102081298828,839.5703125,10.913686275482178,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-04T23:34:26.441754,0.9907826649417852,0.9907895335244093,0.9907826649417852,0.9907738173198626,0.04275703430175781,831.8515625,29.61087656021118,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-04T23:34:32.840693,0.9954721862871928,0.9954736682672956,0.9954721862871928,0.995470132718622,0.04157590866088867,832.0625,2.9987635612487793,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-04T23:34:38.091190,0.9956338939197931,0.9956348592473884,0.9956338939197931,0.9956321129799872,0.013946533203125,831.109375,1.8308985233306885,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-04T23:34:51.685483,0.9841526520051747,0.9841446974237844,0.9841526520051747,0.9841469101705319,0.009037494659423828,834.41015625,10.3022780418396,,,,,,
cnn,"['tfidf', 'sql_semantic']",2025-02-04T23:37:51.277180,0.9930465717981889,0.9930477790502268,0.9930465717981889,0.9930424632651195,1.389782190322876,1845.171875,173.79477763175964,,,,,,
svm,"['tfidf', 'sql_semantic']",2025-02-05T06:45:48.718734,0.9839909443725744,0.9840070824227072,0.9839909443725744,0.9839650792074054,0.2372283935546875,832.21484375,55.82247853279114,,,,,,
random_forest,"['tfidf', 'sql_semantic']",2025-02-05T06:45:54.704540,0.9957956015523933,0.9957961319353181,0.9957956015523933,0.9957940782085085,0.038572072982788086,832.64453125,2.877490282058716,,,,,,
decision_tree,"['tfidf', 'sql_semantic']",2025-02-05T06:45:59.994423,0.9945019404915912,0.9945110273510154,0.9945019404915912,0.9944974264732555,0.013007164001464844,830.85546875,2.2144615650177,,,,,,
logistic_regression,"['tfidf', 'sql_semantic']",2025-02-05T06:46:15.496835,0.9870633893919794,0.9870736477842494,0.9870633893919794,0.9870467505335394,0.008867979049682617,831.89453125,12.440932035446167,,,,,,
cnn,"['tfidf', 'sql_semantic']",2025-02-05T06:49:04.491310,0.9948253557567918,0.994838281976618,0.9948253557567918,0.9948206285382589,1.4344823360443115,1845.1875,161.82216024398804,,,,,,
